trigger,T50,errT50,T90,errT90
2447,33.088,1.134,64.288,1.541
2448,0.44,0.051,0.768,0.521
2449,0.096,0.011,0.208,0.058
2450,11.904,0.202,45.888,0.264
2451,17.984,0.181,35.008,0.453
2452,10.368,0.286,22.976,1.18
2453,2.88,0.231,10.112,2.631
2454,0.632,0.097,1.359,0.218
2458,2.208,0.011,4.976,0.132
2460,1.66,0.066,4.352,0.453
2463,0.064,0.091,0.064,0.091
2464,0.028,0.006,0.048,0.024
2472,17.344,1.319,41.696,3.912
2476,14.4,0.143,31.68,0.5
2477,7.552,0.643,15.872,4.482
2482,11.904,0.286,35.584,4.037
2484,4.48,0.362,11.392,1.37
2485,0.128,0.011,0.176,0.025
2487,0.128,0.036,0.336,0.069
2495,20.672,0.326,38.08,1.042
2496,17.472,2.136,36.512,3.083
2500,39.168,0.551,70.912,1.35
2502,0.2,0.023,0.512,0.051
2504,0.128,0.091,0.128,0.091
2505,18.912,1.145,65.056,4.971
2508,24.96,5.318,29.184,1.27
2510,5.056,0.389,15.552,2.057
2511,32.192,0.58,64.288,8.402
2512,0.112,0.011,0.359,0.075
2513,0.448,0.091,1.408,0.202
2514,0.112,0.011,0.2,0.094
2515,2.848,1.042,10.528,1.494
2519,62.848,0.834,90.24,2.755
2522,56.704,0.091,83.072,0.231
2523,0.312,0.018,0.68,0.115
2528,9.12,26.627,61.92,3.789
2529,0.192,0.091,0.256,0.091
2530,81.6,0.181,194.88,0.516
2533,25.984,0.202,74.304,5.314
2536,0.128,0.091,0.128,0.091
2537,3.008,0.091,4.8,0.091
2541,35.808,1.208,89.376,6.103
2542,13.056,0.143,45.344,1.056
2551,28.128,1.073,63.392,4.331
2560,6.08,0.326,17.792,0.81
2564,0.128,0.091,0.256,0.091
2569,8.832,0.58,23.68,1.675
2570,6.208,0.143,13.824,1.793
2581,51.264,0.905,104.352,5.473
2583,0.128,0.091,0.256,0.091
2585,0.448,0.091,0.832,0.091
2586,7.936,0.091,12.864,0.264
2589,31.072,1.056,55.968,1.448
2593,9.216,0.389,29.888,1.094
2597,0.136,0.011,0.256,0.018
2599,0.064,0.011,0.176,0.062
2600,9.792,0.231,31.808,1.214
2603,9.408,0.091,24.704,0.326
