trigger,T50,errT50,T90,errT90
7213,33.664,3.138,61.12,4.036
7219,22.528,0.551,53.952,1.319
7227,0.044,0.025,0.092,0.042
7228,16.64,3.721,99.584,14.615
7230,13.952,0.773,45.248,2.819
7240,2.24,0.091,3.072,0.143
7247,64.384,0.668,180.736,4.29
7250,56.448,1.042,106.56,4.783
7255,4.416,0.091,10.304,0.231
7263,9.344,1.739,53.184,21.273
7281,0.576,0.091,1.664,0.143
7283,0.296,0.033,0.767,0.456
7285,55.104,1.319,156.096,1.59
7287,0.061,0.039,1.606,2.464
7289,0.132,0.065,0.878,0.582
7290,0.406,0.02,6.287,1.408
7292,0.125,0.011,0.262,0.037
7293,14.08,0.264,47.872,2.881
7294,0.077,0.008,0.154,0.012
7295,19.52,0.707,73.792,12.29
7297,0.438,0.068,1.141,0.485
7298,4.16,0.389,18.944,2.405
7301,9.792,0.091,174.464,0.202
7305,0.358,0.021,3.099,0.448
7310,55.296,0.832,145.664,3.238
7318,5.76,0.143,14.976,0.749
7319,26.432,0.462,49.664,1.675
7322,16.704,2.764,60.48,6.152
7323,53.376,8.248,107.84,9.973
7328,20.736,0.668,63.808,5.505
7329,1.472,0.091,3.136,0.202
7335,26.304,1.669,43.392,7.127
7343,29.824,0.143,63.36,0.264
7344,0.091,0.023,0.364,0.343
7353,0.147,0.006,0.249,0.004
7357,9.152,2.415,52.672,17.438
7358,6.848,0.607,36.48,4.908
7359,0.128,0.143,0.448,0.091
7360,26.24,0.231,130.112,1.236
7361,0.96,0.143,1.856,0.345
7366,0.043,0.003,0.099,0.007
7367,0.399,0.039,0.89,0.139
7369,31.744,17.282,103.68,6.859
7371,14.144,10.633,49.536,61.576
7374,3.456,0.143,12.16,1.026
7375,0.1,0.009,0.311,0.073
7376,4.608,1.296,9.216,1.846
7377,85.184,24.958,212.352,14.474
7378,0.392,0.031,1.247,0.077
7379,25.728,0.41,66.944,9.989
7381,3.328,0.968,9.664,8.446
7386,7.424,1.385,20.608,9.865
7387,27.392,2.255,63.232,4.548
7390,30.976,0.59,76.416,7.94
7403,21.632,0.842,65.856,3.973
7404,11.072,1.541,40.32,12.163
7427,0.119,0.016,0.399,0.395
7428,0.384,0.143,1.728,1.218
7429,7.168,0.143,17.856,0.143
7430,0.501,0.19,3.904,0.962
7432,6.144,0.749,15.68,4.284
7433,8.832,0.87,39.936,6.478
7440,0.064,0.091,0.576,0.143
7446,1.408,0.091,13.568,0.962
7447,0.021,0.002,0.392,0.262
7449,0.117,0.03,0.987,0.705
7451,5.184,0.32,18.752,5.505
7452,27.456,14.405,89.92,9.102
7453,0.026,0.032,0.476,2.75
7455,0.171,0.11,2.12,0.07
7456,0.384,0.091,4.928,0.898
7457,19.136,0.607,106.048,11.953
7460,7.872,1.073,20.864,7.177
7464,9.92,0.143,41.088,2.199
7469,9.408,0.264,18.24,1.154
7472,0.899,0.028,1.958,0.066
7475,12.288,0.231,91.136,2.415
7477,24.64,0.528,100.544,1.484
7481,9.088,0.143,18.24,2.233
7485,13.504,9.026,27.712,3.057
7486,5.632,0.59,22.016,6.467
7487,3.712,0.389,14.848,3.777
7488,20.672,2.499,57.28,7.617
7491,20.608,0.091,49.472,0.389
7493,52.736,10.446,219.584,25.075
7494,2.112,0.202,5.952,0.716
7495,0.351,0.125,0.839,0.26
7496,1.016,0.212,2.197,0.483
7497,17.6,0.362,32.448,2
7500,21.568,2.955,35.84,4.017
7502,48.448,0.781,82.88,2.009
7503,16.768,0.286,86.848,1.632
7504,9.344,2.503,111.36,6.145
7508,0.064,0.091,0.384,0.143
7509,1.426,0.242,5.248,1.548
7514,2.624,1.857,6.336,1.793
7515,36.096,2.497,328.448,11.968
7517,21.632,2.021,48.064,7.516
7518,4.48,0.202,12.736,0.453
7520,20.352,0.231,42.752,0.891
7521,2.88,0.528,6.656,1.286
7523,17.792,2.009,60.48,3.851
7526,0.83,0.231,1.973,1.284
7527,7.616,0.143,253.952,2.369
7528,26.24,5.234,95.744,19.069
7529,1.152,0.091,7.424,1.243
7530,0.768,0.091,2.56,0.202
7532,18.368,3.274,39.296,4.409
7533,3.2,0.405,9.6,4.932
7535,4.288,0.916,9.792,2.435
7547,0.204,0.082,1.011,0.1
7548,3.392,0.143,13.888,1.793
7549,111.808,0.091,130.048,0.091
7550,2.432,0.091,8.768,1.797
7551,53.248,2.435,119.616,12.521
7552,11.648,1.37,63.296,10.202
7554,0.375,0.096,0.604,0.443
7559,1.849,0.086,2.97,1.089
7560,32.256,0.643,68.032,0.202
7563,1.568,0.396,7.68,2.463
7564,2.432,0.202,6.016,2.326
7566,15.232,0.516,28.48,4.042
7567,2.24,0.516,6.528,1.257
7568,3.584,0.547,18.56,2.721
7573,15.808,2.573,51.52,11.143
7575,12.864,0.091,39.808,0.668
7576,9.856,1.86,31.36,10.673
7579,6.784,0.779,15.808,0.462
7580,19.008,8.39,66.56,10.378
7581,0.853,0.073,2.347,2.457
7584,0.014,0.01,0.42,0.128
7587,8.32,0.749,18.944,3.482
7588,6.72,0.202,25.088,3.457
7595,0.172,0.034,0.787,0.477
7597,26.176,2.073,52.096,4.222
7598,7.616,0.326,23.424,3.714
7599,0.504,0.13,6.336,3.908
7601,0.136,0.019,0.276,0.07
7602,2.889,0.32,4.268,1.792
7603,2.38,0.323,9.28,1.154
7604,11.2,1.059,43.2,4.098
7605,9.536,0.143,16.32,0.143
7606,7.552,0.689,49.6,6.355
7607,33.536,4.172,70.656,0.453
7608,83.2,2.764,151.36,23.896
7609,27.392,0.771,52.416,1.305
7614,8.384,0.264,18.432,0.834
7615,12.992,1.701,26.688,4.635
7617,11.136,1.748,48.832,5.85
7619,8.896,2.064,41.728,10.864
7625,15.744,0.528,26.688,2.625
7626,0.192,0.091,0.384,0.143
7630,12.416,0.181,26.624,8.96
7632,0.761,0.326,1.897,0.183
7635,73.92,4.241,124.16,1.404
7638,9.28,0.854,125.504,6.759
7642,86.656,1.094,103.808,8.828
7644,26.56,1.461,134.784,23.275
7645,324.416,3.912,431.616,4.72
7648,9.408,0.202,31.616,3.137
7654,35.648,1.319,68.928,3.482
7656,23.68,2.499,60.096,4.226
7657,14.208,0.405,51.84,1.032
7660,45.504,1.18,131.456,2.064
7662,6.4,1.385,23.232,5.069
7663,0.344,0.021,0.945,0.086
7671,0.256,0.516,5.056,1.664
7674,49.024,6.64,91.52,6.537
7677,30.912,2.127,59.392,5.705
7678,20.48,0.326,42.752,0.707
7683,101.376,6.82,220.48,8.45
7684,31.04,1.18,76.032,13.825
7688,126.784,1.042,154.432,2.463
7695,6.592,0.091,19.392,0.202
7701,4.928,0.264,17.408,3.009
7703,10.816,0.516,73.536,2.009
7705,3.392,0.916,15.744,5.485
7706,0.072,0.007,0.118,0.028
7707,23.232,1.783,74.176,4.128
7710,0.462,0.194,1.016,0.556
7711,5.568,0.202,20.928,2.177
7727,8.512,0.143,23.616,1.729
7729,21.248,1.694,67.52,12.104
7734,0.486,0.12,0.894,0.493
7741,22.016,1.583,47.232,8.319
7744,30.144,0.516,70.016,2.881
7745,0.924,0.089,3.264,0.898
7749,5.76,1.548,19.2,5.007
7750,3.904,0.143,36.864,15.49
7752,2.88,0.202,8.64,3.137
7753,0.998,0.099,2.512,0.64
7754,0.112,0.013,0.174,0.004
7762,11.456,0.231,21.632,1.498
7766,15.168,0.143,77.952,1.665
7769,118.848,5.122,164.224,0.516
7770,1.6,0.091,4.992,0.516
7775,0.348,0.055,3.287,2.508
7780,50.88,8.039,116.032,16.2
7781,1.162,0.065,16.043,0.96
7784,0.14,0.017,1.918,1.995
7785,23.424,0.994,108.992,7.574
7786,8.896,0.58,29.696,1.665
7788,34.944,2.057,77.376,1.601
7789,0.092,0.003,0.164,0.012
7790,65.536,3.981,144.64,2.347
7793,0.557,0.023,1.093,0.04
7794,66.24,0.63,131.648,1.77
7795,87.744,6.469,120,23.424
7798,2.688,0.264,10.432,2.625
7800,0.041,0.009,0.124,0.425
7802,46.144,5.893,124.736,27.136
7803,1.216,0.091,4.352,0.326
7805,0.896,0.143,2.688,1.484
7810,22.336,0.643,58.88,3.137
7813,0.207,0.027,0.564,0.164
7818,14.336,0.231,42.752,4.864
7822,4.544,0.143,26.304,2.347
7825,3.136,0.63,8.64,2.064
7827,0.502,0.147,2.267,4.498
7830,0.581,0.052,0.896,0.085
7831,17.664,1,72.32,9.913
7835,132.608,1,384.704,3.657
7838,46.784,0.692,66.048,2.176
7840,12.864,0.264,43.776,2.627
7841,14.144,2.453,50.368,2.176
7843,9.856,1.236,102.272,23.768
7845,26.816,0.771,81.344,7.168
7849,0.128,0.033,0.268,0.042
7854,31.808,0.834,61.44,0.68
7858,7.168,0.143,79.04,5.505
7862,1.664,0.326,16.704,5.396
7868,83.648,0.231,112.192,0.994
7872,10.176,2.592,36.864,9.515
7884,11.392,0.091,52.672,2.049
7885,55.168,3.299,224.192,36.173
7886,7.552,0.58,37.696,7.169
7888,2.816,0.326,6.208,1.409
7900,48.128,1.262,60.8,2.812
7901,0.128,0.091,0.512,0.202
7902,8.256,6.16,47.104,10.631
7903,3.2,0.326,24.256,7.296
7906,6.272,0.091,15.168,0.091
7912,0.96,0.091,1.856,0.707
7918,18.88,1.154,65.792,11.212
7922,0.268,0.064,0.422,0.064
7923,8.576,3.265,16.96,0.516
7924,14.656,12.933,64.704,13.745
7929,16.064,0.272,51.776,0.73
7932,21.632,0.547,67.392,2.819
7934,7.872,0.429,23.68,5.574
7936,37.312,0.643,39.424,3.585
7938,31.872,1,294.784,6.039
7939,0.508,0.065,1.039,0.072
7942,18.688,0.429,34.048,4.731
7943,1.472,0.389,3.456,2.305
7948,71.616,1.766,231.872,5.916
7952,0.24,0.038,0.579,0.035
7954,4.48,0.091,15.04,0.143
7963,3.008,0.516,13.184,2.096
7965,2.24,0.143,43.52,7.491
7968,15.68,0.773,50.752,5.018
7969,8.832,0.143,22.144,1.346
7970,0.157,0.013,0.387,0.616
7973,39.424,3.216,108.224,20.899
7976,48.256,0.181,94.976,3.206
7977,0.02,0.014,0.02,0.051
7979,0.929,0.163,2.668,0.405
7980,0.104,0.009,0.24,0.074
7984,4.237,0.073,10.432,0.453
7987,1.472,0.091,8.32,1.382
7988,0.077,0.014,0.413,0.214
7989,7.767,0.45,30.566,2.944
7992,0.996,0.102,2.447,0.311
7994,9.728,0.091,26.176,0.091
7995,0.107,0.043,0.608,0.477
7997,7.104,0.453,16.704,2.998
7998,5.824,0.091,10.24,0.516
7999,0.333,0.064,0.527,0.043
8001,49.6,1.404,75.136,3.167
8004,12.224,1.891,32.512,1.448
8008,7.68,0.091,22.656,0.453
8009,2.944,0.466,14.336,2.521
8012,8.896,0.405,17.664,1.448
8018,0.064,0.091,0.128,0.091
8019,10.432,1.547,51.2,2.12
8022,11.072,0.143,22.528,0.916
8026,246.464,2.127,327.296,0.59
8027,0.704,0.091,1.536,0.091
8030,17.472,0.091,23.872,0.326
8035,0.212,0.076,0.768,0.458
8036,23.488,5.168,110.848,3.789
8039,38.784,5.062,83.52,11.31
8041,0.025,0.006,0.079,0.039
8045,14.656,1.28,44.16,5.096
8047,0.427,0.034,0.892,0.031
8049,26.304,0.32,72.448,1.675
8050,1.088,0.091,3.904,0.516
8053,1.798,1.024,1.918,1.024
8054,8.448,1.042,21.248,3.842
8059,33.792,9.28,78.656,4.416
8061,14.592,0.91,26.944,1.073
8062,108.928,1.459,133.44,3.178
8063,68.224,2.881,106.624,3.393
8064,114.816,0.64,148.224,8.076
8066,3.648,1.275,28.928,6.166
8068,0.448,0.012,0.62,0.037
8069,1.408,0.091,4.779,0.128
8071,20.992,3.43,41.344,3.778
8072,0.279,0.011,0.353,0.069
8073,4.416,0.771,33.024,2.691
8075,11.456,0.143,20.8,0.58
8076,0.075,0.015,0.218,0.067
8077,0.384,0.707,1.664,0.453
8079,0.774,0.074,2.288,0.92
8082,0.64,0.181,10.112,0.528
8084,26.496,0.466,82.176,3.078
8085,1.472,0.143,3.584,0.264
8086,4.583,0.261,18.432,1.985
8087,57.856,2.049,164.352,1.032
8089,0.051,0.004,0.123,0.034
8097,0.559,0.145,1.002,0.16
8098,21.824,1.094,136.192,4.238
8099,2.816,0.143,15.488,1.196
8101,57.728,0.59,115.008,4.191
8102,9.92,2.199,38.976,5.12
8104,0.192,0.091,0.384,0.091
8105,6.656,0.202,11.328,1.761
8110,3.84,0.091,10.304,2.44
8111,3.84,0.091,14.592,1.218
8112,3.776,1.506,14.976,3.586
8116,22.016,0.231,49.984,0.792
8120,0.896,0.091,1.408,0.091
8121,15.424,0.326,36.864,1.793
